case,kind,payoff,strikeBps,replications,ordinaryMean,pairedMean,ordinaryVariance,pairedVariance,varianceRatio,varianceRatioCI95,ordinaryGas,pairedGas,varianceTimesGasGain,ordinaryReportedSeRms,pairedReportedSeRms,ordinarySpreadOverReported,pairedSpreadOverReported,pairedMinusOrdinaryMean,differenceSe,meanDifferenceZ,ordinaryZeroSeCount,pairedZeroSeCount,sourceSha256
NVDA,recorded feed,call,10000,256,0.9051263785026509,0.9029542553632643,0.016139681738980623,0.009286208144395902,1.7380271352974892,"[1.3640988107356729, 2.2352129177276043]",37011140,25587773,2.5139493627794147,0.12536749781091727,0.09608009492168425,1.0133571248395359,1.0029650128602845,-0.0021721231393864193,0.008172150173392376,-0.26579579343250614,0,0,1412a29d269c9678cee9ef00334d68794488a6d4b8701d67cf26f6ef1fe9489a
NVDA,recorded feed,call,10200,256,0.04408577439045492,0.04289349286338791,0.0010430124628465196,0.0010367121952208078,1.0060771616797368,"[0.7505965141676332, 1.369357973624589]",37011140,25587773,1.4552287407634643,0.031671270196297466,0.031781802528087995,1.0197160793774827,1.013095948982881,-0.0011922815270670173,0.0020876513158961736,-0.571111429379289,5,2,1412a29d269c9678cee9ef00334d68794488a6d4b8701d67cf26f6ef1fe9489a
NVDA,recorded feed,put,9800,256,0.04169365659345736,0.03849850462478436,0.0011998384886360977,0.0008680299677095944,1.3822546839045449,"[0.9299698372956383, 2.2086723472084877]",37011140,25587773,1.9993463917960683,0.03401354306665908,0.029037624204978754,1.018379202346288,1.014626682200892,-0.003195151968673004,0.0021598720002550093,-1.4793246860442482,7,4,1412a29d269c9678cee9ef00334d68794488a6d4b8701d67cf26f6ef1fe9489a
NVDA,recorded feed,put,10000,256,0.9160363022463593,0.9032369697960672,0.018526744629599426,0.008759667886573914,2.1150053711506196,"[1.6830308437592156, 2.6462253624963035]",37011140,25587773,3.0592251968316093,0.12536846035176008,0.09323754171371515,1.085703568603632,1.0038134394142426,-0.012799332450292132,0.008137832670829761,-1.5728183372670734,0,0,1412a29d269c9678cee9ef00334d68794488a6d4b8701d67cf26f6ef1fe9489a
NVDA,recorded feed,put,10200,256,4.503941667934164,4.49212217709619,0.045651025039084005,0.0008561121413660512,53.32365099534878,"[40.56256983381775, 72.3827902621824]",37011140,25587773,77.12938176761193,0.2006665734165748,0.02899592127196337,1.0647563334482,1.0090865468956793,-0.0118194908379727,0.0133653872990086,-0.8843358275782573,0,0,1412a29d269c9678cee9ef00334d68794488a6d4b8701d67cf26f6ef1fe9489a
SNDK,recorded feed,call,9800,256,41.68417036411567,41.75431677210793,13.687683065896568,2.9285191946851734,4.673926362080083,"[3.6172996978545746, 6.115952246480076]",38234948,26808392,6.666096624145198,3.564840792458705,1.7404625764034936,1.0378266808926844,0.9832395694953721,0.07014640799224803,0.2376379150042837,0.2951818862363927,0,0,6be89efa6af63848a9f433e1f78ab0c9b40cadd9d020bacdcebc0e1c658be39d
SNDK,recorded feed,call,10000,256,18.286643449620726,18.26322072347469,7.241166358481239,4.702669557342564,1.5397991013795909,"[1.1896349834384483, 1.9714652981609815]",38234948,26808392,2.196108538389598,2.720180984892731,2.176151869607799,0.9892509184091691,0.9965131428751529,-0.02342272614603917,0.1782226240856788,-0.131423977546077,0,0,6be89efa6af63848a9f433e1f78ab0c9b40cadd9d020bacdcebc0e1c658be39d
SNDK,recorded feed,call,10200,256,6.364164787797607,6.307025901754586,3.2870163765113083,2.8291810301042486,1.1618261049877707,"[0.8934954370615585, 1.5001337372126824]",38234948,26808392,1.6570318991623947,1.8128368203427214,1.7158846866481754,1.0000972207681893,0.980262232110321,-0.05713888604302081,0.11915592454074724,-0.4795303822554058,0,0,6be89efa6af63848a9f433e1f78ab0c9b40cadd9d020bacdcebc0e1c658be39d
SNDK,recorded feed,put,9800,256,6.161991491197766,5.937151220528062,3.215116513640736,2.20320644042766,1.4592897218549599,"[1.1217444532205803, 1.9255243099548445]",38234948,26808392,2.0812836007493045,1.696997874889852,1.517183968794025,1.0566157002513592,0.9783389656371785,-0.22484027066970372,0.10959797121101143,-2.0515002986397777,0,0,6be89efa6af63848a9f433e1f78ab0c9b40cadd9d020bacdcebc0e1c658be39d
SNDK,recorded feed,put,10000,256,18.610876576702815,18.29246717189482,8.350395022504575,3.8945878757761316,2.144102351481919,"[1.7101184176070052, 2.7434734233967757]",38234948,26808392,3.0579843026612297,2.6237866968528474,1.9729558368005515,1.1013490576825757,1.0002611236750187,-0.318409404807991,0.17120341758344287,-1.8598308918266855,0,0,6be89efa6af63848a9f433e1f78ab0c9b40cadd9d020bacdcebc0e1c658be39d
